Cause,Title
Other, Two Workers Are Struck By Motor Vehicle And One Is Killed 
Falls, Employee Suffers Abdominal Fracture In Fall From Ladder 
Struck By Moving Objects, Employee'S Body Is Caught In Asphalt Machine  Dies 
Other, Employee Is Punctured In Abdomen With Nail 
Falls, Carpenter Is Injured In Fall From Ceiling Joist 
Struck By Moving Objects, Pipeline Worker Is Struck And Injured By Falling Cement 
Caught in/between Objects, Employee Crushes Leg  Suffers Possible Fracture 
Falls, Worker Falls From Roof And Breaks Arm 
Falls, Tile Setter Sustains Injuries In Fall From Ladder 
Struck By Moving Objects, Crane Operator Incurs Knee Injury When Crane Tips Over 
Falls, Employee Is Killed In Fall From Suspension Scaffold 
Falls, Employee Killed In Fall From Man Lift 
Falls, Employee Killed In Fall From Roof 
Falls, Employee Killed In Fall From Telecommunications Tower 
Other, Worker Is Struck By Abrasive Disk From Concrete Machine 
Other, Worker Lacerates Hand On Angle Grinder Used On Concrete 
Other, Abrasive Wheel Cut Off Saw Breaks And Cuts Employee'S Face 
Other, Employee Cuts His Thumb With A Grinding Wheel 
Struck By Moving Objects, Employee'S Face Is Injured By Flying Object 
Other, Employee Is Injured While Cutting Railing With Angle Grinder 
Struck By Moving Objects, Employee Is Killed When Struck By Vehicle 
Falls, Employee Injured In Fall From Roof 
Other, Employee Injured When Nail Gun Accidentally Discharges 
Struck By Moving Objects, Employee Killed When Caught Under Stream Of Hot Water 
Fires and Explosion, Employee Burned When Leaked Gasoline Ignites 
Fires and Explosion, Employee Burns Forearms When Chemical Vapors Ignite 
Fires and Explosion, Employee Burned When Vapors Ignite 
Fires and Explosion, Employees Injured During Explosion 
Struck By Moving Objects, Employee Is Caught By Fallen Trellis  Suffers Fractures 
Fires and Explosion, Employee Is Burned While Operating Cutting Torch 
Fires and Explosion, Employee Burned When Natural Gas Line Ignites And Explodes 
Struck By Moving Objects, Employee Is Struck And Killed By Falling Highway Board Sign 
Caught in/between Objects, Employer Is Killed While Erecting Billboard 
Falls, Employee Is Injured In Aerial Lift Collapse 
Struck By Moving Objects, Employee'S Fingertip Amputated By Falling Toad Sign 
Electrocution, Employee Electrocuted While Painting Outdoor Sign 
Falls, Employee Is Killed In Fall From Billboard Catwalk 
Struck By Moving Objects, Employee Is Killed When Struck By Tree Limb 
Falls, Three Workers Are Injured When Struck By Collapsing Trusses 
