Cause,Title
Other,two worker struck motor vehicle one killed
Falls,employee suffers abdominal fracture fall ladder
Struck By Moving Objects,employee body caught asphalt machine dy
Other,employee punctured abdomen nail
Falls,carpenter injured fall ceiling joist
Struck By Moving Objects,pipeline worker struck injured falling cement
Caught in/between Objects,employee crush leg suffers possible fracture
Falls,worker fall roof break arm
Falls,tile setter sustains injury fall ladder
Struck By Moving Objects,crane operator incurs knee injury crane tip
Falls,employee killed fall suspension scaffold
Falls,employee killed fall man lift
Falls,employee killed fall roof
Falls,employee killed fall telecommunication tower
Other,worker struck abrasive disk concrete machine
Other,worker lacerates hand angle grinder used concrete
Other,abrasive wheel cut saw break cut employee face
Other,employee cut thumb grinding wheel
Struck By Moving Objects,employee face injured flying object
Other,employee injured cutting railing angle grinder
Struck By Moving Objects,employee killed struck vehicle
Falls,employee injured fall roof
Other,employee injured nail gun accidentally discharge
Struck By Moving Objects,employee killed caught stream hot water
Fires and Explosion,employee burned leaked gasoline ignites
Fires and Explosion,employee burn forearm chemical vapor ignite
Fires and Explosion,employee burned vapor ignite
Fires and Explosion,employee injured explosion
Struck By Moving Objects,employee caught fallen trellis suffers fracture
Fires and Explosion,employee burned operating cutting torch
Fires and Explosion,employee burned natural gas line ignites explodes
Struck By Moving Objects,employee struck killed falling highway board sign
Caught in/between Objects,employer killed erecting billboard
Falls,employee injured aerial lift collapse
Struck By Moving Objects,employee fingertip amputated falling toad sign
Electrocution,employee electrocuted painting outdoor sign
Falls,employee killed fall billboard catwalk
Struck By Moving Objects,employee killed struck tree limb
Falls,three worker injured struck collapsing truss
Falls,painter fall lift injures head dy
Caught in/between Objects,worker face crushed scissor lift pipe
Falls,supervisor ejected aerial lift killed fall
Other,employee suffers leg injury basket lift incident
Falls,employee fall roof
Falls,drywall installer fall scissor lift injures head
Electrocution,two employee receive electric shock one killed
Falls,employee suffers multiple fractues fall scissor lift
Falls,worker ankle fractured aerial lift fall pit
Struck By Moving Objects,employee dy pinned inside aerial lift platform
Suffocation,employee killed pinned aerial lift
Falls,employee killed fall aerial lift
Suffocation,employee killed crushed aerial basket wall
Struck By Moving Objects,employee killed crushed lift control beam
Struck By Moving Objects,two injured caught boom basket wall
Struck By Moving Objects,employee killed pinned aerial lift
Struck By Moving Objects,employee asphyxiated working aerial lift
Struck By Moving Objects,employee killed pinned aerial lift
Struck By Moving Objects,roof truss fall kill worker dairy farm
Falls,worker fall barn roof fracture neck
Falls,employee fall lifting equipment later dy
Falls,employee fall
Falls,employee fall fixed roof ladder sustains fracture
Falls,hvac installer seriously injured fall roof
Other,employee amputates fingertip fan belt
Falls,worker fall skylight killed
Electrocution,electric shock
Electrocution,employee electrocuted contacting heater coil
Struck By Moving Objects,employee fracture leg struck falling equipment
Suffocation,one employee killed two hospitalized manhole accident
Fires and Explosion,two employee burned flammable vapor explode
Drowning,carpenter fall bridge pier drowns
Suffocation,employee suffers asphyxia inhaling nitrogen
Fires and Explosion,employee injuried burned underground fire
Other,employee exposed h2s dy possible heart attack
Suffocation,two employee become ill unknown exposure
Falls,employee killed fall air shaft
Falls,employee killed fall skylight hvac shaft
Falls,employee killed fall hvac duct
Falls,employee killed fall shaft
Other,worker paving airstrip struck airplane decapitated
Other,employee killed helicopter crash cable work
Collapse of object,demolition worker injured roof collapse
Electrocution,electric shock
Other,contact buried conductor thru backhoe
Struck By Moving Objects,worker killed run backing skid steer
Struck By Moving Objects,backing forklift pin worker leg
Struck By Moving Objects,employee run killed backing skid loader
Other,employee injured struck vehicle backing
Struck By Moving Objects,employee injured back
Struck By Moving Objects,employee fatally injured run
Struck By Moving Objects,employee killed dump truck backover
Struck By Moving Objects,employee struck killed motor vehicle
Struck By Moving Objects,employee injured truck back
Struck By Moving Objects,employee killed skid steer backover
Struck By Moving Objects,landscape worker struck killed motorist
Falls,worker killed fall stair hour party
Struck By Moving Objects,employee struck killed truck
Fires and Explosion,employee burned spray painting
Falls,employee killed fall communication tower
Other,employee suffers eye injury epoxy glue glove
Other,employee dy allergic reaction bee sting
Fires and Explosion,one employee dy another injured dust explosion
Suffocation,employee injured ammonia exposure
Other,worker using power hand drill sustains finger amputation
Other,foreman finger amputated unguarded saw kick back
Other,skilsaw blade jump ampuates carpenter finger
Caught in/between Objects,employee amputates finger cleaning pump
Other,employee partially amputates thumb circular saw
