Cause,Title,No_of_victims
Other, Employee Is Burned By Forklift Radiator Fluid ,Single
Falls, Employee Falls From Flatbed Trailer And Later Dies ,Single
Struck By Moving Objects, Two Workers Are Struck By Motor Vehicle And One Is Killed ,Multiple
Other, Employee Is Struck By Bales Of Wire And Killed ,Single
Falls, Employee Is Splashed With Hot Water And Is Burned ,Single
Struck By Moving Objects, Employee Suffers Burns While Moving Soup ,Single
Caught in/between Objects, Employee Injures Self With Knife ,Single
Falls, Foreman Is Fatally Crushed When Forklift Tips Over ,Single
Falls, Employee Fractures Abdomen When Run Over By Tug Cart ,Single
Struck By Moving Objects, Employee Suffers Abdominal Fracture In Fall From Ladder ,Single
Falls, Carpenter Injured In Abdomen When Saw Kicks Back ,Single
Falls, Employee Abdomen And Head Injury In Slip And Fall On Tarp ,Single
Falls, Employee Sustains Ruptured Spleen After Board Kicks Back ,Single
Falls, Employee'S Body Is Caught In Asphalt Machine  Dies ,Single
Other, Logger Is Injured When Butt Of Tree Kicks Out  Strikes Him ,Single
Other, Worker Is Injured When Struck By Board And Thrown Onto Steps ,Single
Other, Employee Suffers Burns When He Came In Contact With Live Wir ,Single
Other, Bulldozer Operator Is Crushed While Working On Engine ,Single
Struck By Moving Objects, Employee Is Punctured In Abdomen With Nail ,Single
Other, Employee'S Abdomen Is Penetrated By A Wood Pallet ,Single
Struck By Moving Objects, Carpenter Is Injured In Fall From Ceiling Joist ,Single
Falls, Employee Fractures Ankle Unclogging Beet Harvester ,Single
Other, Pipeline Worker Is Struck And Injured By Falling Cement ,Single
Struck By Moving Objects, Employee Crushes Leg  Suffers Possible Fracture ,Single
Fires and Explosion, Employee Is Struck By Cable  Sustains Facial Abrasion ,Single
Fires and Explosion, Worker Falls From Roof And Breaks Arm ,Single
Fires and Explosion, Driver Hurt When Truck Unloading Sand Overturns ,Single
Fires and Explosion, Employee Sprains Knee When Struck By Forklift ,Single
Struck By Moving Objects, Employee Falls Through Greenhouse Roof  Fractures Ribs ,Single
Fires and Explosion, Employee Is Killed In Avalance ,Single
Fires and Explosion, Worker Smashes Finger While Moving A Pallet Of Cans ,Single
Struck By Moving Objects, Tile Setter Sustains Injuries In Fall From Ladder ,Single
Caught in/between Objects, Worker Injured In Fall Between Two Barges ,Single
Falls, Employee Caught In Floors Suffers Lung Collapse ,Single
Struck By Moving Objects, Employee Falls Through Ceiling  Suffers Contusions/Abrasions ,Single
Electrocution, Worker Thrown From Forklift Sustains Abrasions ,Single
Falls, Fall From Elevated Platform Injures Worker ,Single
Struck By Moving Objects, Two Employees Are Struck By Log  One Sustains Fractures ,Multiple
Falls, Employee Suffers Lacerations When Struck By Tree Branch ,Single
Falls, Crane Operator Incurs Knee Injury When Crane Tips Over ,Single
Caught in/between Objects, Employee Lacerates Finger On Belt Sander ,Single
Falls, Employee Injures Hand When Caught In Rough,Single
Other, Employee Injured When Hand Caught By Plywood Sander Roller ,Single
Falls, Finger Cut By Abrasive Grinding Belt ,Single
Falls, Sandblasting Worker Sprays Leg With Abrasive Slag ,Single
Electrocution, Employee Struck By High Pressure Water Is Killed ,Single
Falls, Employee Is Killed In Fall From Suspension Scaffold ,Single
Falls, Employee Amputated Finger In Adbrasive Blast Machine ,Single
Struck By Moving Objects, Employee Is Killed From Asphyxiation While Abrasive Blasting ,Single
Suffocation, Employee Dies From Heart Disease ,Single
Falls, Employee Injures Finger When Manhole Cover Falls ,Single
Suffocation, Employee Dies When Crushed By Steel Structure ,Single
Struck By Moving Objects, Employee Killed In Fall From Man Lift ,Single
Struck By Moving Objects, Three Employees Hospitalized After Fire In Dust Collector ,Multiple
Struck By Moving Objects, Employee Killed In Fall From Roof ,Single
Struck By Moving Objects, Two Employees Were Asphyxiated And Died ,Multiple
Struck By Moving Objects, Employee Injured When Struck By Falling Core ,Single
Struck By Moving Objects, Two Employees Injured In Propane Explosion ,Multiple
Falls, Employee'S Hand Severed While Cleaning Sabar System ,Single
Falls, Employee Killed When Sandblasting Pot Explodes ,Single
Falls, Employee'S Thigh Lacerated With Abrasive From Machine ,Single
Falls, Employee Asphyxiated By Nitrogen In Sandblasting Hood ,Single
Falls, Electric Shock ,Single
Other, Asphyxiated In Rail Car; Air Compressor Failed ,Single
Falls, Employee'S Foot Is Run Over By Automobile And Is Fractured ,Single
Electrocution, Employee'S Thumb Is Injured By Grinder ,Single
Electrocution, Employee'S Wrist Pressure Burned When Caught In Rollers ,Single
Struck By Moving Objects, Employee Iburns Hand While Using Acid To Clean Shuttle Van ,Single
Suffocation, Employee Injures Legs When Caught Under Sweeper ,Single
Fires and Explosion, Employee Suffers Hand Injury In Rollers ,Single
Drowning, Employee Killed In Fall From Telecommunications Tower ,Single
Suffocation, Employee'S Hand Injured In Contact With Abrasive Wheel ,Single
Fires and Explosion, Employee'S Arm Injured In Roller Of Fiber Spooler ,Single
Other, Employee Injured When Caught By Backhoe Tire ,Single
Suffocation, Employees Suffer Burns From Caustic Material ,Multiple
Falls, Employee Suffers Cuts And Rope Burns As Manlift Cable Breaks ,Single
Falls, Fall ,Single
Falls, Employee Injured When Caught In Conveyor Hold,Single
Falls, Employee'S Arm And Hand Injured By Conveyor Belt/Roller Drum ,Single
Other, Employee Injured When Arm Caught In Oven Conveyor ,Single
Other, Employee Suffers Multiple Fractures Due To Rotating Shaft ,Single
Collapse of object, Window Washer Fell 25 Floors ,Single
Electrocution, Worker Is Struck By Abrasive Disk From Concrete Machine ,Single
Other, Worker Lacerates Hand On Angle Grinder Used On Concrete ,Single
Struck By Moving Objects, Employee'S Arm Is Injured When Abrasive Wheel Fractures ,Single
Struck By Moving Objects, Employee Amputates Hand In Polishing Machine ,Single
Struck By Moving Objects, Abrasive Wheel Cut Off Saw Breaks And Cuts Employee'S Face ,Single
Other, Machine Operature Fractures Arm When Struck By Grinder Wheel ,Single
Struck By Moving Objects, Employee Cuts His Thumb With A Grinding Wheel ,Single
Struck By Moving Objects, Worker Is Killed While Operating Roll Grinding Machine ,Single
Struck By Moving Objects, Employee Injures Eye While Using Wheel Grinding Tool ,Single
Struck By Moving Objects, Employee Amputates Finger On Grinding Wheel ,Single
Struck By Moving Objects, Employee Injures Finger While Repairing Grinder ,Single
Struck By Moving Objects, Employee'S Face Is Injured By Flying Object ,Single
Struck By Moving Objects, Employee Is Injured By Abrasive Wheel Fragment ,Single
Falls, Employee Is Injured While Cutting Railing With Angle Grinder ,Single
Struck By Moving Objects, Grinding Wheel Strikes Employee Who Is Hospitalized ,Single
Fires and Explosion, Employee'S Fingers Partially Amputated In Saw ,Single
Falls, Employee Struck And Injured By Exploding Abrasive Wheel ,Single
Other, Employee'S Hand Lacerated By Abrasive Wheel ,Single
Other, Employee'S Arm Lacerated By Stone Grinder ,Single
Fires and Explosion, Worker'S Finger Is Broken In Unintended Machine Activation ,Single
Suffocation, Pallet Jack Driver Is Pinned By Truck And Sustains Fractures ,Single
Other, Employee Amputates Finger Cleaning A Sausage Machine ,Single
Other, Employee Is Killed When Crushed By Forklift ,Single
Other, Employee Is Killed When Struck By Vehicle ,Single
Caught in/between Objects, Employee Is Entangled While Repairing Car  Breaks Neck ,Single
